month_year,product_category_name,unit_price,comp_1,comp_2,comp_3,price_diff_vs_comp1,price_diff_vs_comp2,price_diff_vs_comp3,qty,freight_price,profit
2017-05-01,bed_bath_table,45.95,89.9,215.0,45.95,-43.95,-169.05,0.0,1,15.1,30.85
2017-06-01,bed_bath_table,45.95,89.9,209.0,45.95,-43.95,-163.05,0.0,3,12.93333333,99.05000001000002
2017-07-01,bed_bath_table,45.95,89.9,205.0,45.95,-43.95,-159.05,0.0,6,14.84,186.66000000000003
2017-08-01,bed_bath_table,45.95,89.9,199.5098039,45.95,-43.95,-153.55980390000002,0.0,4,14.2875,126.65
2017-09-01,bed_bath_table,45.95,89.9,163.3987097,45.95,-43.95,-117.44870970000001,0.0,2,15.1,61.7
2017-10-01,bed_bath_table,45.95,89.9,45.95,45.95,-43.95,0.0,0.0,3,15.1,92.55000000000001
2017-11-01,bed_bath_table,40.53181818,89.9,40.53181818,40.53181818,-49.368181820000004,0.0,0.0,11,15.83272727,271.69000001
2017-12-01,bed_bath_table,39.99,88.48823529,39.99,39.99,-48.498235290000004,0.0,0.0,6,15.23,148.56
2018-01-01,bed_bath_table,39.99,86.9,39.99,39.99,-46.910000000000004,0.0,0.0,19,16.53368421,445.67000001
2018-02-01,bed_bath_table,39.99,86.9,39.99,39.99,-46.910000000000004,0.0,0.0,18,13.74944444,472.3300000800001
2018-03-01,bed_bath_table,39.99,86.9,39.99,39.99,-46.910000000000004,0.0,0.0,17,16.46235294,399.97000002000004
2018-04-01,bed_bath_table,39.99,85.045,39.99,39.99,-45.055,0.0,0.0,13,14.23615385,334.79999995000003
2018-05-01,bed_bath_table,39.99,83.64961538,39.99,39.99,-43.65961538,0.0,0.0,19,10.25631579,564.93999999
2018-06-01,bed_bath_table,39.99,79.9,39.99,39.99,-39.910000000000004,0.0,0.0,5,13.998,129.96000000000004
2018-07-01,bed_bath_table,39.99,77.93333333,39.99,39.99,-37.943333329999994,0.0,0.0,8,20.4175,156.58
2018-08-01,bed_bath_table,39.24,74.0,39.24,39.24,-34.76,0.0,0.0,8,16.33375,183.25000000000003
2017-03-01,garden_tools,69.9,69.9,69.9,69.9,0.0,0.0,0.0,6,32.68,223.32000000000005
2017-04-01,garden_tools,82.63333333,82.63333333,82.63333333,82.63333333,0.0,0.0,0.0,3,34.21666667,145.24999997999998
2017-05-01,garden_tools,97.58823529,59.9,59.9,97.58823529,37.68823529,37.68823529,0.0,20,39.8975,1153.8147058
2017-06-01,garden_tools,89.0,59.9,59.9,89.0,29.1,29.1,0.0,8,40.80125,385.59
2017-07-01,garden_tools,89.0,59.9,59.9,59.9,29.1,29.1,29.1,10,39.156,498.44
2017-08-01,garden_tools,97.33333333,59.9,59.9,59.9,37.43333333,37.43333333,37.43333333,7,39.5,404.83333331
2017-09-01,garden_tools,99.0,59.9,59.9,59.9,39.1,39.1,39.1,9,39.01888889,539.82999999
2017-10-01,garden_tools,99.0,59.9,59.9,59.9,39.1,39.1,39.1,14,45.77642857,745.13000002
2017-11-01,garden_tools,99.0,52.40694444,53.64828125,53.78571429,46.59305556,45.35171875,45.21428571,17,32.86352941,1124.32000003
2017-12-01,garden_tools,99.0,55.1,55.425,55.75,43.9,43.575,43.25,11,38.05545455,670.38999995
2018-01-01,garden_tools,99.5,49.9,49.9,49.9,49.6,49.6,49.6,4,41.54,231.84
2018-02-01,garden_tools,101.0,50.54516129,50.9,50.35714286,50.45483871,50.1,50.64285714,2,43.555,114.89
2018-03-01,garden_tools,101.0,53.9,53.9,53.9,47.1,47.1,47.1,1,67.02,33.980000000000004
